Customer Name,Customer Name,Contact Email,Customer Email Address,Contact Number,Customer Phone Number,Billing Address,Payment Method,Shipping Address,Confirmation Status,Special Instructions
Customer1,John Doe,johndoe@example.com,johndoe@example.com,123-456-7890,123-456-7890,123 Main St, Credit Card,456 Elm St,Confirmed,Handle with care
Customer2,Jane Smith,janesmith@example.com,janesmith@example.com,987-654-3210,987-654-3210,456 Oak St,PayPal,789 Birch St,Confirmed,Fragile items
Customer3,Mark Johnson,markjohnson@example.com,markjohnson@example.com,567-890-1234,567-890-1234,789 Pine St, Credit Card,234 Maple St,Pending,(Empty Field)
Customer4,Mary Brown,marybrown@example.com,marybrown@example.com,345-678-9012,345-678-9012,890 Cedar St,PayPal,567 Redwood St,Pending,(Empty Field)
Customer5,David Lee,davidlee@example.com,davidlee@example.com,789-012-3456,789-012-3456,123 Spruce St, Credit Card,678 Elm St,Confirmed,(Empty Field)
Customer6,Susan Wilson,susanwilson@example.com,susanwilson@example.com,234-567-8901,234-567-8901,345 Birch St,PayPal,789 Oak St,Pending,Handle with care
Customer7,Linda Miller,lindamiller@example.com,lindamiller@example.com,890-123-4567,890-123-4567,567 Redwood St, Credit Card,234 Pine St,Confirmed,(Empty Field)
Customer8,Robert Davis,robertdavis@example.com,robertdavis@example.com,456-789-0123,456-789-0123,678 Cedar St,PayPal,789 Maple St,Pending,Fragile items
Customer9,Emily Garcia,emilygarcia@example.com,emilygarcia@example.com,123-890-1234,123-890-1234,789 Elm St, Credit Card,345 Redwood St,Confirmed,Handle with care
Customer10,Michael Hernandez,michaelhernandez@example.com,michaelhernandez@example.com,890-234-5678,890-234-5678,234 Oak St,PayPal,567 Pine St,Pending,Fragile items
